Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
Matthew Poitras,BOS,C,33,33.183333333333,0,0,0,0,0,0.00,3,0.00,0.47,8,7,4,0,0,0,0,0,0,0,0,1,2,1,0,2,0,2,1,66.67,32,12,72.73,24,12,66.67,16,8,66.67,1,3,25.00,1.8,0.74,70.99,14,6,70.00,3,2,60.00,1,1,50.00,11,4,73.33,0,1,0.00,23,6,79.31,0,1,0.00,6.25,62.50,0.688,7,5,2,35,77.78,9,7,4,69.23
Matthew Tkachuk,FLA,LW,52,174.13333333333,11,12,8,4,23,76.67,48,22.92,9.44,96,73,58,33,1,10,4,2,2,0,0,1,5,1,3,3,0,0,0,-,359,37,90.66,261,34,88.47,176,28,86.27,30,7,81.08,29.41,2.64,91.77,225,12,94.94,102,6,94.44,18,2,90.00,123,6,95.35,8,0,100.00,224,10,95.73,4,1,80.00,17.05,75.00,0.920,74,16,1,8,98.67,165,24,6,96.49
Matthew Wood,NSH,RW,6,5.8166666666667,0,0,0,0,0,-,2,0.00,0.17,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,12,1,92.31,7,1,87.50,4,1,80.00,0,0,-,0.76,0,99.61,6,0,100.00,2,0,100.00,0,0,-,4,0,100.00,0,0,-,9,0,100.00,0,0,-,0.00,100.00,1.000,4,0,0,3,100.00,7,0,0,100.00
Mattias Ekholm,EDM,D,64,63.616666666667,3,4,1,3,7,63.64,11,27.27,0.99,21,14,6,1,0,2,0,0,0,0,0,0,2,1,1,2,2,0,0,-,85,24,77.98,64,19,77.11,49,16,75.38,11,1,91.67,8,0.72,91.70,37,12,75.51,17,5,77.27,4,1,80.00,20,7,74.07,3,0,100.00,69,2,97.18,4,0,100.00,22.45,93.75,1.162,27,9,2,59,93.10,43,13,5,89.58
Mattias Janmark,EDM,C,79,2.0166666666667,0,0,0,0,0,0.00,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,5,4,55.56,3,2,60.00,2,2,50.00,1,0,100.00,0.22,0.08,74.32,0,2,0.00,0,2,0.00,0,0,-,0,0,-,0,0,-,7,1,87.50,1,0,100.00,50.00,100.00,1.500,2,1,1,8,66.67,4,1,1,80.00
Mattias Samuelsson,BUF,D,62,0.71666666666667,0,1,1,0,1,100.00,0,-,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3,0,100.00,2,0,100.00,2,0,100.00,1,0,100.00,0.24,0,100.00,2,0,100.00,1,0,100.00,1,0,100.00,1,0,100.00,0,0,-,3,0,100.00,0,0,-,50.00,-,0.50,2,2,0,5,100.00,2,2,0,100.00
Matty Beniers,SEA,C,82,199.71666666667,5,4,3,1,9,64.29,27,18.52,4.79,62,51,42,16,0,5,2,1,1,0,0,3,6,1,1,10,0,40,51,43.96,287,48,85.67,222,44,83.46,151,32,82.51,14,3,82.35,21.5,2.69,88.87,146,22,86.90,67,10,87.01,9,2,81.82,79,12,86.81,4,0,100.00,210,15,93.33,1,0,100.00,9.27,90.63,0.999,87,18,1,67,98.86,155,32,6,96.27
Matvei Michkov,PHI,RW,80,225.36666666667,8,9,6,3,17,77.27,48,16.67,6.62,87,65,40,13,0,7,0,0,0,0,0,1,8,3,1,9,0,8,13,38.10,354,74,82.71,262,70,78.92,172,54,76.11,22,5,81.48,27.14,5.83,82.31,202,42,82.79,74,16,82.22,10,2,83.33,128,26,83.12,7,1,87.50,264,19,93.29,5,1,83.33,12.79,90.74,1.035,103,15,1,38,99.04,216,21,7,96.86
Maveric Lamoureux,UTA,D,15,0.41666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,1,0,100.00,0,0,-,-,-,-,1,0,0,3,100.00,1,0,0,100.00
Mavrik Bourque,DAL,C,73,42.25,1,2,2,0,3,60.00,7,14.29,0.76,11,8,6,2,0,3,0,0,0,0,0,0,1,0,2,2,1,2,4,33.33,62,12,83.78,43,11,79.63,30,10,75.00,5,0,100.00,4.17,0.79,84.03,30,6,83.33,14,2,87.50,3,0,100.00,16,4,80.00,1,0,100.00,38,3,92.68,1,0,100.00,16.67,100.00,1.167,17,7,0,42,100.00,21,7,1,95.45
Max Domi,TOR,C,74,88.866666666667,0,7,4,3,7,77.78,11,0.00,2,35,22,17,5,1,5,2,1,1,0,0,1,1,1,0,2,0,24,19,55.81,132,21,86.27,93,19,83.04,58,16,78.38,9,1,90.00,9.99,1.84,84.43,73,11,86.90,35,7,83.33,5,1,83.33,38,4,90.48,2,0,100.00,82,13,86.32,2,0,100.00,15.52,93.75,1.093,28,9,6,84,82.35,45,14,10,81.82
Max Pacioretty,TOR,LW,37,41.933333333333,0,0,0,0,0,0.00,10,0.00,2.28,17,12,13,11,0,2,0,0,0,0,0,0,3,0,2,1,0,1,0,100.00,73,13,84.88,49,12,80.33,38,12,76.00,4,0,100.00,5.84,1.12,83.95,42,5,89.36,24,4,85.71,3,0,100.00,18,1,94.74,0,0,-,46,7,86.79,1,0,100.00,10.53,100.00,1.105,18,3,2,37,90.00,26,6,5,83.87
